Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginSuite,Chrome 60.0.3112.113,,2017-09-13 17:12:30,2017-09-13 17:13:22,52.503s,FAILED
,,,,,,
Test Cases/LoginFunctionalityTests/FB_LoginTest,Chrome 60.0.3112.113,,2017-09-13 17:12:31,2017-09-13 17:12:57,26.953s,FAILED
openBrowser,Chrome 60.0.3112.113,,2017-09-13 17:12:31,2017-09-13 17:12:41,9.281s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-13 17:12:41,2017-09-13 17:12:45,3.986s,PASSED
click,Chrome 60.0.3112.113,,2017-09-13 17:12:45,2017-09-13 17:12:45,0.321s,PASSED
click,Chrome 60.0.3112.113,,2017-09-13 17:12:45,2017-09-13 17:12:46,0.722s,PASSED
switchToWindowTitle,Chrome 60.0.3112.113,,2017-09-13 17:12:46,2017-09-13 17:12:47,1.091s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-13 17:12:47,2017-09-13 17:12:48,0.789s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-13 17:12:48,2017-09-13 17:12:48,0.641s,PASSED
click,Chrome 60.0.3112.113,,2017-09-13 17:12:48,2017-09-13 17:12:50,1.647s,PASSED
switchToWindowUrl,Chrome 60.0.3112.113,,2017-09-13 17:12:50,2017-09-13 17:12:50,0.108s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-13 17:12:50,2017-09-13 17:12:53,3.030s,PASSED
verifyElementPresent,Chrome 60.0.3112.113,,2017-09-13 17:12:53,2017-09-13 17:12:53,0.169s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-13 17:12:53,2017-09-13 17:12:56,3.005s,PASSED
click,Chrome 60.0.3112.113,,2017-09-13 17:12:56,2017-09-13 17:12:56,0.236s,PASSED
click,Chrome 60.0.3112.113,,2017-09-13 17:12:56,2017-09-13 17:12:57,0.210s,PASSED
click,Chrome 60.0.3112.113,,2017-09-13 17:12:57,2017-09-13 17:12:57,0.810s,FAILED
,,,,,,
Test Cases/LoginFunctionalityTests/LoginTest,Chrome 60.0.3112.113,,2017-09-13 17:12:58,2017-09-13 17:13:22,24.860s,FAILED
openBrowser,Chrome 60.0.3112.113,,2017-09-13 17:12:58,2017-09-13 17:13:02,4.420s,PASSED
navigateToUrl,Chrome 60.0.3112.113,,2017-09-13 17:13:02,2017-09-13 17:13:10,8.040s,PASSED
click,Chrome 60.0.3112.113,,2017-09-13 17:13:10,2017-09-13 17:13:11,0.986s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-13 17:13:11,2017-09-13 17:13:13,2.020s,PASSED
setText,Chrome 60.0.3112.113,,2017-09-13 17:13:13,2017-09-13 17:13:14,0.956s,PASSED
click,Chrome 60.0.3112.113,,2017-09-13 17:13:14,2017-09-13 17:13:15,0.381s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-13 17:13:15,2017-09-13 17:13:18,3.257s,PASSED
verifyElementPresent,Chrome 60.0.3112.113,,2017-09-13 17:13:18,2017-09-13 17:13:19,1.047s,PASSED
delay,Chrome 60.0.3112.113,,2017-09-13 17:13:19,2017-09-13 17:13:22,3.008s,PASSED
click,Chrome 60.0.3112.113,,2017-09-13 17:13:22,2017-09-13 17:13:22,0.447s,FAILED
